capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
report/progress:view,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/questioninstances:view,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
report/security:view,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
report/stats:view,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
report/usersessions:manageownsessions,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
repository/alfresco:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/areafiles:view,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
repository/boxnet:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/coursefiles:view,X,X,X,X,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,X,NULL,NULL
repository/dropbox:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/equella:view,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
repository/filesystem:view,X,X,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,NULL,NULL,NULL,X,X,NULL,NULL,X,NULL,X,NULL,NULL
repository/flickr_public:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/flickr:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/googledocs:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/local:view,X,X,X,X,X,NULL,X,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,X,NULL,NULL
repository/merlot:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/picasa:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/recent:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/s3:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/skydrive:view,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
repository/upload:view,NULL,NULL,NULL,NULL,"X,X,X",NULL,NULL,NULL,"X,X",X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/url:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/user:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
repository/webdav:view,X,X,X,X,X,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X,NULL,NULL,X,NULL,X,NULL,NULL
repository/wikimedia:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
repository/youtube:view,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL
tool/coursebank:download,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
tool/coursebank:edit,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
tool/coursebank:view,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
tool/coursebank:viewlogs,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
tool/customlang:edit,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
tool/customlang:view,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
tool/lpmigrate:frameworksmigrate,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
tool/monitor:managerules,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
tool/monitor:managetool,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
tool/monitor:subscribe,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
tool/recyclebin:deleteitems,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
tool/recyclebin:restoreitems,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
tool/recyclebin:viewitems,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
tool/uploaduser:uploaduserpictures,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,X,NULL,NULL
webservice/rest:use,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
webservice/xmlrpc:use,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
