capability,Manager,Course_Creator,Tutor,Non_Edit,Student,Guest,Course_Administrator,UCL_Support_Staff,Participant,Authenticated_user,Enrolment_keyholder,Service_Desk_Administrator,CALT_Support,Sub_Administrator,Question_Sharer,Overviewing_Advisor,Report_Reader,Report_Writer,Leader,Library_Administrator,Webservice_role,Personal_Tutor_Role,Course_Administrator_no_email,MyFeedback_Departmental_Administrator,Digital_Education_Admin,QAA_Reviewer,Non_editing_Tutor_no_emails
mod/elluminate:enablerecordings,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:joinmeeting,X,X,X,X,X,NULL,X,X,X,X,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/elluminate:manage,X,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:manageanyrecordings,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL
mod/elluminate:manageattendance,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:managemoderators,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:manageparticipants,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:managepreloads,X,NULL,X,NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:managerecordings,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:moderatemeeting,X,NULL,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:view,X,X,X,X,X,X,X,X,X,X,NULL,X,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/elluminate:viewattendance,X,NULL,X,X,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:viewguestlink,X,NULL,X,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/elluminate:viewrecordings,X,NULL,X,X,X,NULL,X,X,X,X,NULL,NULL,X,NULL,NULL,X,NULL,NULL,X,X,X,NULL,X,NULL,NULL,X,X
mod/feedback:addinstance,X,NULL,"X,X,X",NULL,"X,X",NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,X,NULL,NULL
mod/feedback:complete,NULL,NULL,"X,X",NULL,"X,X",NULL,X,X,X,NULL,NULL,NULL,X,X,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,X,X
mod/feedback:createprivatetemplate,X,NULL,"X,X","X,X",X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/feedback:createpublictemplate,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/feedback:deletesubmissions,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/feedback:deletetemplate,X,NULL,"X,X",NULL,X,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
mod/feedback:edititems,X,NULL,"X,X",NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,NULL,NULL,X,NULL,NULL,NULL,NULL,X,X,X,NULL,X,NULL,NULL,NULL,NULL
